0.0031859414993702	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp900540205
0.0019895510883626	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	UBA737	UBA737 sp900547445
0.0032725567568535	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA9715	UBA9715 sp902788545
0.0034085413761833	Bacteria	Firmicutes_A	Clostridia_258483	TANB77	CAG-508	UMGS1994	UMGS1994 sp900553945
0.0049051158469585	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	70-9	67-14	67-14 sp001897355
0.0039921980444505	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	Armatimonas rosea
0.0029183317805306	Bacteria	Firmicutes_A	Clostridia_258483	Christensenellales	CAG-314	CAG-314	CAG-314 sp900551395
0.004451283637478	Bacteria	Firmicutes_A	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T chartatabidum
0.0038962910212331	Bacteria	Proteobacteria	Alphaproteobacteria	ATCC43930_507253	Stellaceae_507253	Constrictibacter	Constrictibacter antarcticus
0.0050273550449311	Bacteria	Firmicutes_A	Clostridia_258483	Peptostreptococcales	Anaerovoracaceae	Copromorpha	Copromorpha sp900066305
0.0035641248776356	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R faecavium
0.0031262514154186	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae_929731	Flavipsychrobacter_929086	Flavipsychrobacter sp902168085
0.0022223618855439	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter_910554	Hymenobacter flocculans
0.0029714126736404	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Longimicrobium terrae
0.0041197772175632	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus_A_391019	Microlunatus_A endophyticus
0.0021450836314073	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus_A_391024	Microlunatus_A_391024 soli
0.0042519070457176	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus_B	Microlunatus_B parietis
0.0019337160165026	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter_A	Mucilaginibacter_A auburnensis
0.0036408262386741	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Nakamurellaceae	Nakamurella	Nakamurella lactea
0.0039237219454526	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides_A_392796	Nocardioides_A_392796 marinquilinus
0.0022880500461792	Bacteria	Bdellovibrionota_E	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexus	Oligoflexus tunisiensis
0.002937463448293	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	Paludisphaera sp001610895
0.0020742866207193	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 distasonis
0.0033114345092729	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Phragmitibacter	Phragmitibacter flavus
